iter	Passed	Remaining
274	163116	133458
275	163709	132865
276	164326	132291
277	164892	131676
278	165467	131068
279	166080	130491
280	166752	129959
281	167351	129371
282	167940	128774
283	168542	128186
284	169109	127574
285	169710	126986
286	170290	126382
287	170807	125733
288	171420	125155
289	171944	124511
290	172392	123814
291	172985	123222
292	173591	122639
293	174155	122027
294	174729	121422
295	175307	120820
296	175870	120207
297	176452	119608
298	177005	118990
299	177605	118403
300	178307	117884
301	179038	117382
302	179774	116883
303	180265	116223
304	180923	115672
305	181632	115152
306	182304	114608
307	182798	113952
308	183320	113314
309	183792	112646
310	184309	112007
311	184794	111350
312	185287	110699
313	185661	109977
314	186137	109319
315	186640	108677
316	187126	108025
317	187621	107380
318	188121	106739
319	188609	106092
320	189127	105463
321	189601	104810
322	190092	104168
323	190594	103532
324	191106	102903
325	191528	102226
326	192028	101592
327	192520	100955
328	192981	100303
329	193442	99652
330	193913	99007
331	194408	98375
332	194913	97749
333	195355	97092
334	195852	96464
335	196322	95824
336	196739	95158
337	197224	94527
338	197721	93903
339	198199	93270
340	198698	92648
341	199191	92024
342	199688	91402
343	200182	90780
344	200688	90164
345	201219	89560
346	201745	88954
347	202220	88325
348	202754	87724
349	203208	87089
350	203696	86469
351	204131	85828
352	204649	85222
353	205179	84622
354	205651	83998
355	206114	83371
356	206608	82759
357	207105	82148
358	207551	81517
359	208009	80892
360	208532	80293
361	209016	79680
362	209490	79063
363	209907	78427
364	210439	77833
365	211323	77369
366	212002	76829
367	212803	76331
368	213447	75776
369	214388	75325
370	215294	74859
371	215889	74284
372	216196	73611
373	216674	72997
374	217144	72381
375	217643	71775
376	218165	71178
377	218683	70580
378	219193	69979
379	219645	69361
380	220195	68775
381	220640	68156
382	221148	67557
383	221661	66960
384	222098	66341
385	222704	65772
386	223817	65352
387	224439	64786
388	225032	64212
389	225765	63677
390	226461	63131
391	227181	62590
392	227845	62034
393	228485	61470
394	229006	60875
395	229501	60272
396	230010	59675
397	230445	59058
398	230932	58456
399	231416	57854
400	231862	57242
401	232361	56645
402	232844	56044
403	233303	55438
404	233774	54835
405	234281	54242
406	234779	53647
407	235232	53042
408	235746	52452
409	236192	51847
410	236652	51245
411	237147	50652
412	237651	50062
413	238143	49469
414	238978	48947
415	239524	48365
416	240308	47831
417	240881	47254
418	241522	46690
419	242189	46131
420	242824	45565
421	243989	45097
422	244630	44530
423	245141	43940
424	245746	43366
425	246418	42805
426	247064	42238
427	247686	41666
428	248285	41091
429	248817	40505
430	249411	39928
431	249985	39349
432	250603	38777
433	251233	38206
434	251813	37627
435	252419	37052
436	253059	36482
437	253660	35906
438	254231	35325
439	254743	34737
440	255329	34159
441	255914	33581
442	256717	33031
443	257481	32475
444	258082	31897
445	258963	31354
446	259558	30775
447	260145	30195
448	260737	29616
449	261279	29031
450	261822	28446
451	262427	27868
452	263053	27292
453	263527	26701
454	264107	26120
455	264772	25548
456	265358	24968
457	265847	24378
458	266421	23797
459	266959	23213
460	267494	22629
461	268075	22049
462	268702	21472
463	269236	20889
464	270160	20334
465	271037	19775
466	271703	19199
467	272316	18619
468	273003	18044
469	273698	17470
470	274281	16887
471	274803	16301
472	275434	15722
473	275987	15138
474	276587	14557
475	277215	13977
476	277827	13396
477	278427	12814
478	279036	12233
479	279607	11650
480	280213	11068
481	280748	10484
482	281347	9902
483	281941	9320
484	282411	8734
485	283047	8153
486	283688	7572
487	284321	6991
488	284927	6409
489	285484	5826
490	286114	5244
491	286745	4662
492	287297	4079
493	287886	3496
494	288473	2913
495	289207	2332
496	289896	1749
497	290742	1167
498	291314	583
499	291839	0
